year,income
2011,33832.508417413104
2015,37146.36871830397
2020,41288.69409441762
2078,89339.66845733486
2034,52887.20514753554
2013,35489.438567858655
2011,33832.508417413104
2035,53715.670222758316
2025,45431.01947053103
